coords,other_flats_less500m,other_flats_0.5-1km,other_flats_1-3km,other_flats_3-5km,other_flats_5-10km,other_flats_10-15km
"('55.76952', '37.601852')",18,57,294,453,1491,1988
"('55.644755', '37.392553')",10,9,69,78,583,823
"('55.6438807', '37.3571627')",9,14,65,84,348,743
"('55.644227', '37.38878')",10,8,75,71,566,809
"('55.640073', '37.365354')",11,6,72,82,396,759
"('55.6396042', '37.366312')",10,6,73,81,402,763
"('55.645151', '37.350063')",7,11,64,78,320,734
"('55.643144', '37.38499')",8,7,74,75,528,812
"('55.641796', '37.36662')",9,9,70,82,406,764
"('55.638765', '37.358049')",10,12,64,91,321,780
"('55.640909', '37.36157')",15,6,71,83,369,761
"('55.641244', '37.356172')",12,11,68,84,331,756
"('55.63976', '37.362245')",13,6,70,85,369,765
"('55.634934', '37.34576')",2,10,65,72,267,740
"('55.639638', '37.397908')",4,10,72,85,582,829
"('55.638088', '37.400121')",3,7,75,82,584,825
"('55.64566', '37.390603')",13,6,73,72,588,809
"('55.6375', '37.363564')",8,7,72,84,364,776
"('55.644704', '37.385861')",11,4,80,64,556,793
"('55.624714', '37.376059')",1,0,77,88,365,859
"('55.643053', '37.391107')",9,9,71,81,560,822
"('55.638912', '37.36164')",12,5,71,84,359,770
"('55.641829', '37.360699')",13,9,69,82,365,760
"('55.633851', '37.41405')",4,4,58,115,591,844
"('55.645852', '37.389059')",13,4,78,64,585,797
"('55.631803', '37.41926')",4,2,59,122,578,878
"('55.646223', '37.385978')",11,5,79,62,569,789
"('55.64216', '37.368979')",6,11,69,83,425,777
"('55.644221', '37.352327')",9,12,65,83,323,740
"('55.656346', '37.424327')",9,6,70,119,751,1037
"('55.642083', '37.327381')",4,12,58,57,224,724
"('55.661816', '37.419916')",5,11,55,129,743,1069
"('55.601305', '37.411346')",4,3,31,45,477,735
"('55.636605', '37.314023')",8,9,52,46,181,680
"('55.6433374', '37.3590022')",9,14,65,86,362,747
"('55.649901', '37.367419')",2,6,71,63,477,725
"('55.647204', '37.371587')",2,13,64,78,463,767
"('55.635945', '37.344619')",2,13,60,77,260,743
"('55.648094', '37.394028')",9,12,66,78,618,833
"('55.692648', '37.496704')",8,12,186,245,1254,1480
"('55.801404', '37.348976')",2,0,9,54,404,918
"('55.626579', '37.313502')",8,7,42,57,158,652
"('55.681091', '37.459845')",2,7,102,272,870,1559
"('55.66164', '37.41553')",5,11,53,123,727,1029
"('55.625471', '37.342814')",5,0,80,54,247,714
"('55.6674', '37.450333')",5,6,89,200,824,1330
"('55.64447', '37.348994')",6,13,62,78,315,730
"('55.647432', '37.38631')",11,8,76,67,576,797
"('55.64269', '37.3577113')",11,10,68,84,348,751
"('55.633409', '37.321524')",7,14,55,59,195,706
"('55.625303', '37.314346')",8,5,43,56,166,638
"('55.661394', '37.414212')",5,10,54,116,724,1017
"('55.653858', '37.396362')",4,12,61,88,659,831
"('55.655869', '37.427381')",9,3,79,113,774,1045
"('55.850725', '37.623063')",9,15,103,222,1049,1295
"('55.836999', '37.661329')",10,2,94,177,1121,1337
"('55.849498', '37.623171')",7,16,102,226,1072,1292
"('55.854168', '37.623563')",7,16,105,220,967,1314
"('55.855333', '37.623452')",6,16,104,213,952,1319
"('55.850535', '37.654439')",5,6,110,172,965,1334
"('55.852734', '37.615677')",8,10,101,224,1019,1309
"('55.857946', '37.617307')",6,11,108,210,915,1332
"('55.84771', '37.6366')",12,8,104,202,1090,1279
"('55.849691', '37.620905')",8,14,100,229,1073,1288
"('55.827656', '37.665436')",3,7,95,205,1214,1313
"('55.85973', '37.6653')",9,10,107,110,795,1290
"('55.838147', '37.661257')",9,3,90,180,1105,1338
"('55.8558', '37.68467')",3,7,66,134,745,1285
"('55.8449514', '37.6392377')",4,12,95,205,1112,1295
"('55.858817', '37.638755')",4,9,121,157,884,1314
"('55.793156', '37.622772')",3,11,220,386,1509,1706
"('55.810596', '37.617374')",5,17,134,339,1538,1384
"('55.851104', '37.601476')",3,3,108,226,1082,1268
"('55.8495', '37.63888')",9,12,104,202,1039,1307
"('55.862793', '37.643058')",3,13,117,140,796,1339
"('55.8495825', '37.6409167')",9,10,102,198,1028,1319
"('55.850141', '37.622425')",8,16,100,227,1056,1298
"('55.835508', '37.654718')",7,9,101,182,1179,1314
"('55.847311', '37.628999')",6,16,97,221,1107,1281
"('55.853648', '37.619324')",10,10,107,221,998,1300
"('55.860822', '37.66123')",7,17,108,116,780,1309
"('55.836266', '37.642528')",2,6,108,197,1227,1275
"('55.827338', '37.666423')",3,4,97,206,1207,1318
"('55.852177', '37.635916')",8,17,104,201,999,1301
"('55.84905', '37.624202')",8,15,105,222,1084,1286
"('55.86169', '37.642643')",4,11,121,142,819,1343
"('55.858868', '37.665993')",8,10,105,112,802,1295
"('55.860873', '37.613737')",3,13,113,205,866,1343
"('55.849615', '37.637614')",10,12,100,207,1043,1304
"('55.809231', '37.636392')",18,27,106,347,1440,1445
"('55.830892', '37.646606')",2,11,102,210,1291,1252
"('55.889563', '37.669872')",8,7,59,103,429,1073
"('55.881631', '37.6835')",2,5,75,74,496,1072
"('55.851635', '37.63419')",8,18,103,203,1015,1293
"('55.854458', '37.68516')",5,4,69,138,760,1310
"('55.848816', '37.59704')",2,3,104,240,1105,1271
"('55.847851', '37.638746')",8,11,101,201,1075,1294
"('55.864242', '37.620034')",1,10,120,178,828,1337
"('55.853041', '37.647603')",3,19,99,177,943,1332
"('55.862767', '37.611563')",2,11,113,203,837,1347
"('55.847244', '37.635567')",10,10,100,208,1096,1282
"('55.837807', '37.662598')",9,3,88,183,1101,1342
"('55.860615', '37.668417')",11,5,106,103,776,1276
"('55.806656', '37.7715')",9,13,128,132,716,1258
"('55.811138', '37.808689')",4,17,95,72,469,1064
"('55.6583', '37.574696')",6,18,164,257,1037,1751
"('55.87106', '37.663223')",2,12,104,113,595,1249
"('55.824501', '37.583095')",4,14,94,338,1417,1330
"('55.80663', '37.640766')",16,18,120,362,1421,1479
"('55.867556', '37.603361')",8,15,117,189,768,1343
"('55.663887', '37.769398')",6,16,81,132,610,1135
"('55.663481', '37.73041')",9,3,121,113,877,1257
"('55.670062', '37.743759')",3,15,103,142,826,1274
"('55.671493', '37.750927')",5,22,86,162,780,1267
"('55.643917', '37.702616')",4,6,61,210,711,1321
"('55.645476', '37.707215')",5,12,57,214,720,1307
"('55.667709', '37.777411')",6,10,71,147,596,1130
"('55.662821', '37.760809')",8,20,85,136,636,1186
"('55.667361', '37.752993')",7,20,87,145,730,1233
"('55.664445', '37.777007')",6,8,80,134,591,1078
"('55.659504', '37.777084')",2,11,87,105,577,1014
"('55.647681', '37.730562')",5,12,90,167,672,1176
"('55.658662', '37.759452')",8,19,99,115,631,1136
"('55.655127', '37.746004')",4,14,113,111,700,1144
"('55.667145', '37.764111')",8,21,77,149,637,1219
"('55.661796', '37.729592')",8,3,120,119,852,1262
"('55.67159', '37.764483')",8,20,80,168,666,1248
"('55.673126', '37.755726')",8,22,82,175,731,1287
"('55.672448', '37.761599')",9,18,84,172,684,1263
"('55.667178', '37.759937')",7,22,79,150,661,1229
"('55.646228', '37.705841')",6,8,59,213,730,1324
"('55.636032', '37.802265')",3,3,18,101,365,799
"('55.654635', '37.765525')",8,8,106,91,585,1046
"('55.669986', '37.773143')",5,15,70,159,618,1196
"('55.667731', '37.774014')",5,17,70,150,603,1161
"('55.673847', '37.759235')",9,20,84,176,699,1289
"('55.64066', '37.79885')",1,5,25,117,381,849
"('55.657768', '37.761438')",8,15,101,105,624,1100
"('55.679737', '37.76539')",8,11,108,147,738,1285
"('55.635371', '37.794262')",4,2,31,113,366,859
"('55.672757', '37.749724')",6,20,90,164,797,1287
"('55.653279', '37.711428')",4,4,67,192,824,1306
"('55.660531', '37.730895')",7,6,120,117,831,1251
"('55.670849', '37.775442')",4,12,69,160,615,1194
"('55.66534', '37.733338')",6,9,114,120,867,1265
"('55.650099', '37.730203')",4,14,92,162,707,1182
"('55.652486', '37.738243')",3,12,107,129,711,1146
"('55.649926', '37.708823')",4,11,57,212,778,1330
"('55.6649677', '37.7456397')",6,17,103,133,768,1239
"('55.665233', '37.761734')",5,25,76,146,637,1219
"('55.6854618', '37.7258237')",7,7,93,222,963,1563
"('55.632972', '37.798637')",4,2,23,105,358,809
"('55.669828', '37.761581')",9,17,83,157,674,1237
"('55.648443', '37.725415')",6,13,82,183,690,1217
"('55.650759', '37.765264')",4,8,100,93,559,1044
"('55.662222', '37.732656')",8,6,118,118,842,1250
"('55.644089', '37.716288')",8,11,79,197,695,1224
"('55.645182', '37.721355')",9,10,92,182,689,1203
"('55.546557', '37.519557')",4,5,76,72,271,655
"('55.543779', '37.45699')",6,0,39,64,244,572
"('55.547397', '37.566584')",4,10,46,71,286,645
"('55.537424', '37.540102')",3,2,63,73,234,549
"('55.541922', '37.494144')",5,19,58,65,247,596
"('55.539548', '37.538889')",2,7,59,81,237,581
"('55.55061', '37.558167')",6,13,45,87,289,688
"('55.562968', '37.500504')",4,7,65,87,348,753
"('55.5541523', '37.5028576')",5,5,78,61,309,701
"('55.547535', '37.548941')",7,11,54,85,274,669
"('55.524936', '37.515892')",5,3,49,65,185,413
"('55.55003', '37.500288')",3,13,72,60,291,672
"('55.567194', '37.498941')",4,9,55,99,356,787
"('55.549022', '37.569099')",3,8,45,73,291,663
"('55.564409', '37.500917')",4,6,63,93,348,765
"('55.563757', '37.498617')",4,9,60,89,349,758
"('55.539677', '37.460086')",6,1,36,65,230,539
"('55.5567986', '37.5068015')",4,5,80,73,322,723
"('55.535553', '37.502274')",7,7,55,76,209,530
"('55.550434', '37.49033')",8,10,72,51,298,642
"('55.530225', '37.515838')",4,11,51,74,199,467
"('55.537149', '37.529322')",1,11,63,81,225,558
"('55.540939', '37.523645')",4,11,68,82,235,616
"('55.523682', '37.511814')",5,2,49,65,182,395
"('55.534688', '37.522072')",4,8,64,74,214,530
"('55.542681', '37.485116')",9,10,66,49,271,578
"('55.541004', '37.493225')",5,16,56,67,239,593
"('55.54343', '37.555795')",5,11,47,88,254,628
"('55.554975', '37.507205')",5,2,84,64,313,708
"('55.546083', '37.549184')",8,10,56,82,272,653
"('55.54484', '37.556289')",9,9,49,82,268,632
"('55.523575', '37.508661')",5,2,50,62,185,390
"('55.540939', '37.452678')",5,1,29,72,223,541
"('55.547276', '37.534317')",2,11,65,89,264,672
"('55.529675', '37.512532')",3,15,44,79,184,475
"('55.53743', '37.506332')",7,8,57,78,213,561
"('55.564511', '37.487038')",2,14,51,90,349,732
"('55.554348', '37.512757')",3,4,82,66,307,705
"('55.541805', '37.521201')",4,8,70,83,235,633
"('55.531672', '37.50089')",3,10,50,72,196,495
"('55.572482', '37.567581')",3,9,46,106,441,813
"('55.567178', '37.573312')",9,9,49,92,413,770
"('55.563421', '37.573914')",10,7,49,79,396,749
"('55.563905', '37.582224')",9,7,50,75,411,724
"('55.576202', '37.58024')",1,12,46,97,491,798
"('55.517371', '37.5724')",2,2,23,57,187,364
"('55.539023', '37.575441')",4,2,39,72,243,553
"('55.572309', '37.569009')",3,9,46,105,444,809
"('55.559746', '37.575639')",3,12,43,81,359,732
"('55.584874', '37.464221')",1,7,38,79,502,725
"('55.745377', '37.67212')",6,25,194,371,1448,1734
"('55.57066', '37.564913')",3,8,46,106,415,814
"('55.5603276', '37.578958')",5,10,44,80,369,729
"('55.8149827', '37.7588599')",4,16,106,147,713,1295
"('55.8124948', '37.7391276')",7,13,112,149,868,1380
"('55.816895', '37.727625')",8,15,88,168,909,1394
"('55.81708', '37.746151')",7,14,101,143,774,1342
"('55.8108798', '37.7423865')",6,15,121,145,864,1368
"('55.817192', '37.744')",6,14,100,141,795,1347
"('55.8027', '37.722037')",7,19,122,191,1093,1377
"('55.82958', '37.758022')",2,4,61,137,609,1259
"('55.808308', '37.72192')",10,15,109,194,1046,1394
"('55.8056', '37.716145')",8,16,112,206,1120,1370
"('55.8115699', '37.7407137')",6,13,114,148,867,1374
"('55.806361', '37.728571')",5,20,118,179,1013,1378
"('55.818048', '37.74628')",7,13,98,141,767,1334
"('55.808118', '37.727445')",8,20,111,182,998,1394
"('55.812509', '37.722046')",9,20,93,198,1010,1384
"('55.8108078', '37.7407356')",6,15,118,149,878,1369
"('55.81917', '37.751152')",9,6,105,139,731,1320
"('55.810364', '37.717492')",6,22,91,223,1040,1419
"('55.811457', '37.730832')",7,18,106,163,939,1376
"('55.81386', '37.72493')",10,16,98,181,973,1377
"('55.822321', '37.760818')",4,8,86,147,638,1281
"('55.81964', '37.724712')",5,14,81,167,905,1388
"('55.800944', '37.705338')",3,12,121,243,1210,1388
"('55.8118593', '37.7416374')",6,15,112,146,860,1370
"('55.8180948', '37.7528486')",9,7,107,139,734,1303
"('55.80042', '37.710049')",7,11,128,218,1208,1346
"('55.789269', '37.663809')",5,17,162,374,1426,1558
"('55.807769', '37.764636')",8,16,122,141,740,1286
"('55.81335', '37.70311')",6,14,81,245,1073,1445
"('55.805187', '37.71283')",5,18,109,215,1147,1372
"('55.813661', '37.740107')",8,14,107,150,849,1380
"('55.822', '37.759235')",4,11,84,148,647,1289
"('55.803085', '37.712975')",8,10,124,207,1177,1345
"('55.80608', '37.712128')",4,18,102,222,1137,1374
"('55.504208', '37.539043')",7,0,21,45,137,283
"('55.503204', '37.53685')",7,1,19,45,132,281
"('55.507973', '37.584308')",3,6,9,41,163,295
"('55.568736', '37.489805')",8,9,50,93,367,767
"('55.542986', '37.47872')",7,8,66,46,280,569
"('55.50213', '37.32641')",2,0,12,8,39,220
"('55.569138', '37.489257')",8,11,47,96,366,769
"('55.504517', '37.536823')",6,1,20,48,134,292
"('55.503971', '37.592716')",4,2,10,20,168,256
"('55.504374', '37.586778')",5,4,9,24,164,267
"('55.540822', '37.45504')",6,1,30,70,225,546
"('55.548665', '37.48685')",9,11,69,51,293,630
"('55.545375', '37.523824')",6,4,77,75,261,651
"('55.543274', '37.459843')",5,1,43,58,250,564
"('55.540266', '37.458732')",6,1,34,67,228,546
"('55.524355', '37.51167')",5,2,51,63,184,399
"('55.546812', '37.493955')",9,11,73,47,285,626
"('55.503721', '37.589778')",4,3,9,21,167,257
"('55.520762', '37.351222')",2,3,16,18,100,297
"('55.508524', '37.339337')",3,1,11,21,39,272
"('55.536545', '37.506763')",7,10,54,79,211,549
"('55.526093', '37.510745')",6,4,51,68,182,422
"('55.502666', '37.53829')",7,0,21,41,135,272
"('55.500392', '37.521677')",2,2,13,37,143,264
"('55.568471', '37.486867')",11,8,53,84,371,755
"('55.5346857', '37.5009365')",7,6,57,74,210,517
"('55.543582', '37.49709')",4,19,63,59,255,613
"('55.541206', '37.48661')",7,10,61,54,261,573
"('55.532675', '37.38292')",3,0,12,27,161,359
"('55.5529937', '37.464911')",4,0,64,47,310,606
"('55.54267', '37.486618')",11,8,68,49,271,579
"('55.544023', '37.47804')",6,8,65,47,284,572
"('55.569016', '37.48614')",10,9,51,85,370,759
"('55.551843', '37.503953')",4,5,76,60,295,695
"('55.54673', '37.488142')",12,8,74,45,294,611
"('55.545584', '37.483211')",11,8,70,46,292,587
"('55.569036', '37.487263')",9,10,50,87,370,764
"('55.550132', '37.489203')",8,11,71,50,300,632
"('55.507046', '37.57191')",1,6,13,45,156,297
"('55.549516', '37.488475')",8,12,70,51,296,631
"('55.5124399', '37.5801894')",2,6,14,48,180,324
"('55.641295', '37.403522')",5,11,67,95,618,826
"('55.54649', '37.489385')",11,9,73,46,290,612
"('55.500524', '37.541943')",4,3,16,34,142,253
"('55.53666', '37.507835')",8,7,56,79,211,552
"('55.549327', '37.487586')",9,11,71,50,296,630
"('55.589204', '37.167393')",7,0,11,3,39,111
"('55.549144', '37.525836')",3,5,74,74,284,672
"('55.820847', '37.65276')",4,13,85,247,1343,1278
"('55.511705', '37.366817')",1,1,17,11,107,271
"('55.544061', '37.562335')",6,11,44,85,256,633
"('55.50368', '37.588745')",4,3,10,20,167,258
"('55.549501', '37.564904')",4,10,46,77,295,664
"('55.500621', '37.576124')",1,6,13,23,149,251
"('55.54857', '37.553234')",10,9,54,78,285,666
"('55.510647', '37.565193')",1,4,17,58,154,328
"('55.812303', '37.599757')",3,11,156,338,1572,1345
"('55.80427', '37.611088')",10,6,181,360,1570,1497
"('55.821113', '37.591431')",3,13,104,333,1462,1331
"('55.807911', '37.612362')",9,9,163,351,1564,1404
"('55.816555', '37.5934')",4,12,125,343,1519,1337
"('55.79526', '37.625')",2,13,191,401,1492,1677
"('55.784554', '37.630527')",10,20,243,404,1479,1801
"('55.8053599', '37.589619')",6,8,185,409,1531,1497
"('55.809055', '37.589256')",2,19,154,400,1520,1452
"('55.812358', '37.583634')",6,10,143,377,1488,1445
"('55.808083', '37.61088')",8,10,160,355,1566,1407
"('55.810436', '37.563988')",10,11,157,361,1469,1452
"('55.812459', '37.556685')",5,9,176,322,1472,1386
"('55.82537', '37.59751')",5,5,103,296,1462,1256
"('55.8025889', '37.5918333')",7,4,202,394,1547,1546
"('55.812312', '37.595316')",4,10,159,336,1564,1375
"('55.806747', '37.611824')",8,9,173,348,1574,1424
"('55.78525', '37.560404')",10,18,286,454,1469,1739
"('55.774598', '37.54595')",6,12,285,476,1501,1732
"('55.642499', '37.615803')",3,18,82,190,1009,1441
"('55.65461', '37.625595')",3,4,102,209,1142,1485
"('55.6542767', '37.6257333')",3,4,100,207,1142,1479
"('55.66667', '37.621076')",2,12,111,252,1294,1515
"('55.6512', '37.591152')",4,14,129,241,1012,1636
"('55.670242', '37.610332')",5,10,141,256,1285,1619
"('55.66833', '37.593964')",3,12,171,248,1205,1705
"('55.67278', '37.619144')",2,9,122,279,1314,1620
"('55.673103', '37.530526')",13,20,206,281,1150,1735
"('55.63027', '37.592113')",4,10,71,215,847,1380
"('55.6324625', '37.6076822')",10,11,75,191,887,1371
"('55.644359', '37.614114')",3,19,87,191,1043,1435
"('55.662334', '37.605715')",4,16,147,223,1226,1568
"('55.66119', '37.6056')",5,11,152,215,1214,1568
"('55.651363', '37.61062')",5,14,106,202,1116,1492
"('55.662217', '37.620869')",5,7,112,236,1233,1526
"('55.659886', '37.615919')",4,10,117,235,1203,1520
"('55.651994', '37.62828')",3,1,104,191,1119,1458
"('55.6374156', '37.6102554')",9,18,77,196,946,1426
"('55.676018', '37.68418')",9,9,69,205,1119,1546
"('55.668569', '37.611608')",5,9,143,246,1283,1585
"('55.651134', '37.60723')",7,14,107,214,1095,1514
"('55.6545218', '37.6009467')",6,15,132,217,1109,1586
"('55.6546297', '37.6061646')",6,14,126,204,1140,1539
"('55.64945', '37.61205')",5,14,96,201,1100,1472
"('55.661623', '37.615569')",4,10,121,237,1223,1542
"('55.647204', '37.618641')",3,12,95,180,1091,1423
"('55.676585', '37.634092')",5,7,120,256,1344,1532
"('55.672783', '37.536014')",15,22,196,292,1152,1761
"('55.860181', '37.69905')",2,4,52,120,660,1228
"('55.820566', '37.66238')",2,9,93,242,1288,1325
"('55.849991', '37.683237')",4,2,77,150,833,1329
"('55.8178557', '37.6333335')",8,19,105,274,1436,1289
"('55.833572', '37.65577')",5,14,92,200,1188,1316
"('55.825629', '37.647298')",4,6,99,224,1320,1261
"('55.850574', '37.684148')",5,1,74,151,816,1336
"('55.866306', '37.708332')",4,4,42,92,584,1142
"('55.850636', '37.686142')",5,1,70,148,807,1328
"('55.81995', '37.651394')",6,15,85,253,1352,1289
"('55.8298785', '37.6607697')",3,13,92,204,1204,1319
"('55.819084', '37.653694')",6,14,86,258,1344,1299
"('55.813749', '37.642096')",11,30,89,312,1407,1369
"('55.810466', '37.624247')",7,26,115,352,1487,1406
"('55.813314', '37.641')",9,33,85,317,1415,1375
"('55.867041', '37.709596')",5,2,44,85,583,1121
"('55.820642', '37.642042')",2,22,84,264,1383,1278
"('55.856335', '37.69941')",2,4,45,139,679,1273
"('55.822478', '37.648492')",7,9,94,238,1351,1268
"('55.828132', '37.650226')",4,12,96,216,1290,1269
"('55.818301', '37.62678')",11,12,114,267,1485,1250
"('55.816217', '37.626196')",10,15,118,280,1486,1294
"('55.825127', '37.62865')",3,7,127,217,1422,1212
"('55.8154079', '37.6271093')",11,19,116,287,1482,1313
"('55.82318', '37.62634')",6,9,123,226,1461,1205
"('55.812388', '37.64365')",12,28,90,318,1406,1384
"('55.866834', '37.702625')",3,8,47,94,590,1150
"('55.807404', '37.640594')",18,19,117,356,1425,1467
"('55.813941', '37.649391')",9,23,91,291,1367,1374
"('55.8072401', '37.6337868')",16,19,116,370,1438,1492
"('55.870713', '37.71371')",4,7,31,79,530,1050
"('55.823393', '37.619899')",3,9,129,214,1508,1171
"('55.694813', '37.607914')",9,5,166,314,1546,1649
"('55.698477', '37.625999')",6,13,167,310,1557,1673
"('55.675631', '37.62872')",4,7,127,266,1328,1584
"('55.680143', '37.609685')",2,9,148,298,1408,1655
"('55.7094255', '37.6240153')",4,17,168,344,1606,1708
"('55.6873515', '37.5984783')",9,18,159,302,1487,1661
"('55.673676', '37.601106')",5,17,148,269,1295,1675
"('55.699943', '37.619683')",6,12,168,311,1578,1662
"('55.703842', '37.615875')",7,13,163,332,1594,1679
"('55.698173', '37.619827')",6,14,169,297,1561,1664
"('55.713998', '37.619989')",8,21,177,352,1610,1736
"('55.692734', '37.60302')",11,6,163,316,1517,1664
"('55.708288', '37.643228')",7,7,186,289,1564,1702
"('55.696487', '37.612747')",3,15,167,298,1573,1631
"('55.691745', '37.610269')",6,8,164,318,1503,1672
"('55.69181', '37.607978')",8,6,164,320,1511,1665
"('55.699406', '37.624444')",6,15,165,316,1561,1672
"('55.710732', '37.640551')",8,11,192,299,1587,1710
"('55.671174', '37.62908')",3,7,105,272,1283,1555
"('55.6825589', '37.6943914')",6,18,63,233,1107,1647
"('55.870693', '37.550846')",5,12,114,183,798,1152
"('55.861272', '37.541234')",6,7,125,207,909,1157
"('55.855328', '37.557469')",6,10,106,239,990,1212
"('55.861524', '37.5425')",6,7,128,202,911,1151
"('55.860077', '37.54629')",6,10,114,226,906,1182
"('55.860944', '37.567212')",9,8,114,205,917,1216
"('55.860666', '37.545276')",6,9,120,220,898,1180
"('55.855399', '37.559373')",7,9,105,240,986,1223
"('55.862378', '37.542689')",6,9,126,205,893,1162
"('55.858867', '37.561284')",11,8,117,214,945,1208
"('55.866687', '37.557107')",6,11,122,191,833,1188
"('55.860994', '37.542051')",6,6,129,201,919,1150
"('55.855043', '37.557013')",5,11,104,246,988,1220
"('55.903014', '37.550801')",5,0,68,105,480,864
"('55.859968', '37.566683')",9,8,117,198,941,1203
"('55.871284', '37.497548')",5,9,118,157,751,988
"('55.720864', '37.725604')",2,15,83,275,1165,1531
"('55.865389', '37.558122')",7,12,118,201,847,1195
"('55.850368', '37.578181')",4,5,103,213,1124,1205
"('55.867578', '37.562794')",6,10,122,181,833,1179
"('55.86204', '37.555695')",3,23,105,226,874,1202
"('55.867714', '37.552742')",6,13,124,194,827,1170
"('55.85726', '37.563323')",12,3,118,215,977,1204
"('55.866718', '37.553918')",6,14,122,194,833,1181
"('55.86995', '37.549004')",4,15,116,189,802,1155
"('55.857458', '37.567958')",8,7,115,204,982,1217
"('55.86132', '37.565414')",9,9,119,201,914,1209
"('55.857656', '37.569233')",7,9,112,205,981,1220
"('55.79942', '37.539223')",11,24,221,382,1448,1527
"('55.821371', '37.587946')",6,11,107,330,1456,1340
"('55.833182', '37.531595')",2,10,110,307,1215,1312
"('55.882064', '37.502858')",3,4,100,131,642,949
"('55.733364', '37.828938')",5,9,68,142,598,959
"('55.736726', '37.824508')",5,6,73,131,659,967
"('55.710749', '37.794607')",5,11,103,164,705,1252
"('55.732525', '37.83344')",2,12,63,139,564,928
"('55.720023', '37.823951')",8,8,86,142,594,1006
"('55.7255', '37.810818')",2,6,102,146,711,1085
"('55.719395', '37.820908')",6,9,86,147,608,1044
"('55.71453', '37.777515')",5,15,132,141,889,1260
"('55.75103', '37.80868')",2,16,57,136,758,1029
"('55.81247', '37.80198')",8,13,112,71,502,1108
"('55.75311', '37.78632')",2,17,43,222,782,1288
"('55.721817', '37.818886')",6,12,84,155,618,1069
"('55.720322', '37.795987')",1,8,121,135,810,1143
"('55.7174103', '37.7821036')",5,13,117,148,868,1248
"('55.718628', '37.78827')",4,11,121,144,849,1207
"('55.722477', '37.781641')",6,10,133,127,931,1197
"('55.678566', '37.723988')",6,6,99,182,956,1478
"('55.7156246', '37.7789853')",4,16,124,152,876,1259
"('55.697194', '37.79004')",5,5,94,170,669,1265
"('55.700212', '37.810809')",7,7,78,146,577,1143
"('55.740466', '37.767214')",4,6,92,199,1005,1250
"('55.757004', '37.827526')",2,7,63,97,650,953
"('55.715829', '37.82926')",4,7,75,135,545,980
"('55.686888', '37.920296')",5,2,34,38,188,453
"('55.733032', '37.825504')",4,10,72,137,630,971
"('55.714474', '37.78728')",5,15,104,168,791,1267
"('55.722091', '37.825919')",9,7,81,146,577,991
"('55.720905', '37.808132')",2,10,101,157,690,1130
"('55.711666', '37.79108')",7,13,105,161,743,1249
"('55.718086', '37.819514')",5,12,84,152,607,1055
"('55.71676', '37.830185')",4,8,73,136,544,976
"('55.750216', '37.817951')",6,6,72,103,726,974
"('55.756888', '37.777535')",6,5,50,230,827,1310
"('55.85224', '37.610996')",5,13,96,229,1047,1297
"('55.85061', '37.5769')",3,7,100,214,1117,1210
"('55.840218', '37.5849927')",3,6,92,284,1236,1254
"('55.861135', '37.590973')",5,7,113,210,886,1301
"('55.841362', '37.580903')",5,6,88,274,1235,1227
"('55.863304', '37.59109')",7,8,115,204,849,1310
"('55.867445', '37.587533')",4,16,115,199,781,1301
"('55.840029', '37.582586')",3,7,85,282,1250,1232
"('55.845926', '37.576151')",5,10,93,254,1164,1230
"('55.86644', '37.596363')",10,12,117,192,791,1322
"('55.823646', '37.571219')",6,9,110,327,1427,1322
"('55.868187', '37.606119')",6,12,118,190,753,1355
"('55.850914', '37.617536')",10,9,100,229,1055,1302
"('55.854133', '37.61865')",9,10,104,226,989,1308
"('55.86968', '37.599545')",7,16,119,185,732,1340
"('55.8648791', '37.5977803')",8,11,116,202,809,1326
"('55.8468', '37.575792')",7,8,94,241,1149,1229
"('55.7178871', '37.4265829')",9,22,123,161,905,1490
"('55.864017', '37.589684')",6,9,112,207,828,1322
"('55.871531', '37.60796')",4,12,115,179,705,1355
"('55.865889', '37.589042')",5,14,115,199,803,1317
"('55.86446', '37.599094')",7,12,117,202,813,1337
"('55.771732', '37.619099')",10,39,275,453,1450,1989
"('55.94088', '37.5291857')",4,0,9,11,268,491
"('55.9405669', '37.5258694')",4,0,9,11,272,488
"('55.9422093', '37.5297096')",4,0,9,10,254,480
"('55.834714', '37.523519')",3,9,113,301,1174,1305
"('55.859499', '37.474974')",14,7,138,143,796,1033
"('55.849559', '37.487299')",6,19,122,212,864,1180
"('55.838096', '37.514401')",4,4,110,291,1112,1239
"('55.850075', '37.478693')",7,16,134,180,839,1147
"('55.8367599', '37.5183955')",4,5,107,304,1132,1272
"('55.852521', '37.520402')",5,7,145,187,1048,1070
"('55.830437', '37.486687')",6,9,122,267,1023,1297
"('55.850437', '37.5011')",6,11,133,207,955,1140
"('55.84073', '37.494404')",15,12,127,253,984,1222
"('55.851591', '37.518389')",5,6,143,194,1051,1078
"('55.857978', '37.471237')",10,12,135,141,791,1039
"('55.857301', '37.475576')",13,10,135,160,793,1072
"('55.830857', '37.492922')",6,14,118,281,1056,1304
"('55.857716', '37.506874')",7,14,136,176,951,1058
"('55.840912', '37.495231')",14,12,126,257,985,1226
"('55.85078', '37.50035')",7,11,134,203,946,1142
"('55.834896', '37.487344')",8,19,118,261,995,1266
"('55.858124', '37.47192')",10,12,136,141,791,1040
"('55.857841', '37.469099')",9,11,135,138,788,1034
"('55.854436', '37.496129')",3,19,129,188,900,1103
