author,author_type,url,floor,floors_total,rooms,meters,district,street,house_number,price
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307809305/,11,12,4,257.0,Раменки, Улофа Пальме,7,2000000
ID 122239110,realtor,https://www.cian.ru/rent/flat/307809177/,4,13,4,92.0,, Летчика Ульянина,3А,90000
NIKA ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307806480/,5,6,4,290.0,Хамовники,Молочный переулок,1,1300000
Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307806362/,6,6,4,270.0,Хамовники,Малый Могильцевский переулок,4Б,500000
Андрей Смирнов,realtor,https://www.cian.ru/rent/flat/307805564/,2,27,4,100.0,Раменки, Янковского,1к1,450000
My Hoyse,real_estate_agent,https://www.cian.ru/rent/flat/307799327/,2,14,4,155.0,Соколиная гора, 10-я Соколиной Горы,6к1,200000
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307798895/,12,24,4,161.4,Очаково-Матвеевское,Староволынская ,12к5,500000
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/rent/flat/307797624/,5,9,4,160.0,Пресненский, Спиридоновка,15,750000
DreamHouseRealty,real_estate_agent,https://www.cian.ru/rent/flat/307797217/,7,13,4,170.0,Таганский,Котельническая набережная,1/15кА,390000
ID 12664419,realtor,https://www.cian.ru/rent/flat/307784903/,3,10,4,70.0,, Александры Монаховой,90к2,95000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307781937/,3,11,4,221.0,Хамовники, Усачева,2С3,924073
CapitalEstate,real_estate_agent,https://www.cian.ru/rent/flat/307781575/,9,12,4,126.0,Хамовники,Ружейный переулок,3,375000
ID 13413458,unknown,https://www.cian.ru/rent/flat/307781014/,6,16,4,112.8,Некрасовка, Сочинская,8,150000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307779641/,4,8,4,166.0,Таганский,Котельническая набережная,1/15кБ,390000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307778316/,7,33,4,86.0,Метрогородок,Открытое шоссе,18Ак1,135000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307778308/,5,22,4,100.0,Хорошево-Мневники,проспект Маршала Жукова,47,125000
ID 20510,real_estate_agent,https://www.cian.ru/rent/flat/307777576/,20,25,4,85.0,Царицыно,Кавказский бульвар,51к2,120000
Дарья Солодкова,realtor,https://www.cian.ru/rent/flat/307776580/,2,8,4,318.0,Хамовники,переулок Хилков,1,1900000
ID 32403,real_estate_agent,https://www.cian.ru/rent/flat/307776451/,3,8,4,110.0,Пресненский,переулок Брюсов,2/14С1,250000
Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307774256/,12,13,4,230.0,Мещанский, Гиляровского,4К1,350000
ДОМ.РФ Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307773674/,9,23,4,95.0,Щукино, Берзарина,30,161700
ID 549007,homeowner,https://www.cian.ru/rent/flat/307773064/,2,8,4,95.0,Раменки, Янковского,1к3,450000
BARSANDKEY,real_estate_agent,https://www.cian.ru/rent/flat/307772949/,2,9,4,70.0,Ивановское, Молостовых,11К3,75000
Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307772608/,2,8,4,95.0,Раменки, Янковского,1к3,450000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307771561/,3,11,4,175.0,Пресненский,Большой Тишинский переулок,38С1,230000
VIVAVI ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307770273/,43,43,4,176.0,Хорошевский,Хорошевское шоссе,16к2,300000
Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307768516/,4,13,4,167.0,Таганский,Котельническая набережная,1/15кА,390000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307756620/,21,26,4,120.0,Черемушки,Херсонская ,43,245000
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/rent/flat/307756165/,3,10,4,200.0,Хамовники,Еропкинский переулок,16/23,700000
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/rent/flat/307753845/,9,9,4,241.0,Арбат,Филипповский переулок,8С1,700000
Елена Войнова,realtor,https://www.cian.ru/rent/flat/307752730/,3,9,4,135.0,Тверской,1-я Тверская-Ямская ,28,350000
ID 6663826,realtor,https://www.cian.ru/rent/flat/307751864/,5,22,4,100.0,Хорошево-Мневники,проспект Маршала Жукова,47,125000
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307751280/,3,5,4,152.6,Хамовники, Остоженка,7С1,800000
ID 54376685,unknown,https://www.cian.ru/rent/flat/307748282/,8,30,4,88.1,Пресненский,Шмитовский проезд,39к2,210000
ID 79957865,unknown,https://www.cian.ru/rent/flat/307745989/,2,10,4,92.0,Соколиная гора,Щербаковская ,57/20,120000
ArArAt ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307742285/,2,7,4,340.0,Хамовники,переулок Хилков,1,1650000
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/rent/flat/307741061/,9,20,4,144.0,Кунцево, Маршала Тимошенко,17К2,280000
ID 8618,realtor,https://www.cian.ru/rent/flat/307735879/,16,30,4,170.0,Раменки, Улофа Пальме,1,300000
ID 449626,unknown,https://www.cian.ru/rent/flat/307734352/,4,9,4,137.0,Хамовники, Знаменка,13С1,380000
Мозаик Групп,real_estate_agent,https://www.cian.ru/rent/flat/307731737/,4,6,4,127.0,Хамовники,Большой Афанасьевский переулок,6,450000
Максим Белоусов,realtor,https://www.cian.ru/rent/flat/307729100/,9,25,4,100.0,Пресненский,Шмитовский проезд,39к2,200000
Ольга Козицкая,realtor,https://www.cian.ru/rent/flat/307725463/,15,23,4,105.7,Рязанский, Васильцовский Стан,10к1,120000
ID 429227,realtor,https://www.cian.ru/rent/flat/307725104/,14,38,4,143.8,Раменки,Мосфильмовская ,70к1,290000
Антон Маслов,realtor,https://www.cian.ru/rent/flat/307724005/,32,32,4,127.0,Аэропорт,Кочновский проезд,4к1,250000
Stapler Estate,real_estate_agent,https://www.cian.ru/rent/flat/307723868/,19,21,4,137.0,Пресненский,2-я Звенигородская ,16,750000
YU HOME,real_estate_agent,https://www.cian.ru/rent/flat/307723587/,1,19,4,77.0,, Бориса Пастернака,35,90000
ID 40525867,homeowner,https://www.cian.ru/rent/flat/307722635/,1,19,4,76.4,, Бориса Пастернака,35,90000
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/rent/flat/307719580/,1,19,4,156.0,Хорошево-Мневники,Шелепихинская набережная,34к2,588000
Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307718123/,2,4,4,160.0,Тверской,Петровский переулок,5С8,300000
ID 12878514,homeowner,https://www.cian.ru/rent/flat/307717096/,5,5,4,74.0,Басманный,Плетешковский переулок,3АС1,158000
CapitalEstate,real_estate_agent,https://www.cian.ru/rent/flat/307716935/,19,21,4,136.0,Пресненский,2-я Звенигородская ,16,750000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307715235/,6,8,4,155.0,Красносельский,переулок Даев,5,330000
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307714213/,3,4,4,121.0,Басманный,Малый Козловский переулок,8,370000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307714205/,4,15,4,99.0,Хорошевский,Ходынский бульвар,2,260000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307712603/,5,9,4,150.0,Арбат,Кривоарбатский переулок,16/22,350000
Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307712342/,3,14,4,101.0,Даниловский, Мастеркова,1,200000
Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307709303/,3,12,4,175.0,Пресненский,Большой Тишинский переулок,38С1,230000
ID 90857299,homeowner,https://www.cian.ru/rent/flat/307707258/,53,65,4,125.0,Тимирязевский,Дмитровский проезд,1,450000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307706382/,2,5,4,158.0,Тверской,Петровский переулок,5С1,300000
Светлана Шишкина,realtor,https://www.cian.ru/rent/flat/307706147/,3,14,4,95.0,Академический,Большая Черемушкинская ,2К5,170000
Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307701074/,2,5,4,156.0,Тверской,Петровский переулок,5С1,300000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307700301/,3,15,4,101.0,Даниловский, Мастеркова,1,200000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307696102/,3,15,4,105.0,Даниловский, Мастеркова,1,200000
Estate time,real_estate_agent,https://www.cian.ru/rent/flat/307683168/,4,22,4,170.0,Крылатское, Крылатские Холмы,33К3,450000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307680761/,56,75,4,201.0,Пресненский,1-й Красногвардейский проезд,15,980000
SKOLKOVO НЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/rent/flat/307679820/,3,4,4,175.0,Арбат,Староконюшенный переулок,36С2,300000
Александр Неклюдов,realtor,https://www.cian.ru/rent/flat/307679205/,5,12,4,88.6,Замоскворечье,Валовая ,21К125,150000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307677839/,5,33,4,100.0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к1,250000
ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307677049/,8,9,4,129.0,Аэропорт, 8 Марта,9,190000
Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307675782/,11,17,4,160.0,Ломоносовский, Вавилова,97,250000
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307675736/,1,14,4,210.0,Арбат,Малый Новопесковский переулок,8,450000
CapitalEstate,real_estate_agent,https://www.cian.ru/rent/flat/307671467/,4,9,4,130.0,Беговой,Беговая ,5,350000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307670004/,6,8,4,140.0,Тверской,Селезневская ,22,450000
Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/307666843/,8,10,4,186.5,Хамовники,3-я Фрунзенская ,5к1,550000
Николай Шевченко,realtor,https://www.cian.ru/rent/flat/307665487/,6,11,4,118.7,Соколиная гора,Щербаковская ,40,150000
Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307664858/,3,3,4,185.0,Тверской,Петровский переулок,1/30С2,330000
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307664084/,2,8,4,320.0,Хамовники,переулок Хилков,1,1900000
Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307661572/,5,7,4,150.0,Арбат,Кривоарбатский переулок,16/22,350000
Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307661288/,7,7,4,160.0,Хамовники,1-й Обыденский переулок,9/12,400000
ZAVIDOV REALTY,real_estate_agent,https://www.cian.ru/rent/flat/307660711/,2,5,4,116.3,Замоскворечье,Садовническая ,27С1,400000
Vesco Realty,real_estate_agent,https://www.cian.ru/rent/flat/307654224/,3,7,4,98.0,Хамовники, Усачева,15А,600000
ID 89989998,unknown,https://www.cian.ru/rent/flat/307650837/,3,5,4,147.1,Пресненский,Трехпрудный переулок,11/13С1,380000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307649497/,4,6,4,183.0,Мещанский,Большой Сергиевский переулок,5,350000
ID 122095580,homeowner,https://www.cian.ru/rent/flat/307647191/,4,15,4,96.0,Хорошевский,Ходынский бульвар,2,260000
Артем Андреев,realtor,https://www.cian.ru/rent/flat/307639968/,14,25,4,130.0,Аэропорт,Ленинградский проспект,36с40,600000
Квартирный вопрос,real_estate_agent,https://www.cian.ru/rent/flat/307636850/,3,4,4,154.0,Тверской,Страстной бульвар,12С1,390000
Виктор Смолич,realtor,https://www.cian.ru/rent/flat/307636448/,4,14,4,110.0,Крылатское,Осенняя ,2,140000
ID 85789,unknown,https://www.cian.ru/rent/flat/307634973/,9,35,4,104.0,Левобережный,Смольная ,49,210000
ID 12319223,unknown,https://www.cian.ru/rent/flat/307632963/,3,5,4,190.0,Якиманка,Софийская набережная,18,750000
ID 50322783,realtor,https://www.cian.ru/rent/flat/307631832/,10,12,4,100.7,Якиманка, Серафимовича,2,450000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307631606/,9,15,4,260.0,Раменки,Минская ,1Б,350000
DOORS AGENCY,real_estate_agent,https://www.cian.ru/rent/flat/307629279/,6,22,4,138.0,Красносельский,Грохольский переулок,28,250000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307627271/,8,12,4,166.0,Хорошевский,Ходынский бульвар,11,350000
Ирина Руперти,realtor,https://www.cian.ru/rent/flat/307624885/,14,40,4,170.6,Щукино,Авиационная ,79А,250000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307613703/,11,15,4,167.0,Аэропорт,Ленинградский проспект,52,300000
Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307610858/,4,12,4,70.0,Алексеевский,Новоалексеевская ,18К1,100000
Анастасия Морозова,realtor,https://www.cian.ru/rent/flat/307610214/,6,8,4,100.0,Хамовники,Комсомольский проспект,38/16,150000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307609456/,14,17,4,99.0,, Большое Понизовье,5,120000
Unique Property,real_estate_agent,https://www.cian.ru/rent/flat/307608748/,15,15,4,100.0,Молжаниновский,Ленинградское шоссе,228к4,140000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307605217/,24,26,4,90.0,, Саларьевская,8к1,200000
Monumental Group,real_estate_agent,https://www.cian.ru/rent/flat/307602199/,9,10,4,160.0,Тверской,Страстной бульвар,10к1,450000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307595279/,5,6,4,158.0,Замоскворечье,Садовническая набережная,7,1500000
ID 13546659,realtor,https://www.cian.ru/rent/flat/307590722/,26,43,4,98.7,Раменки, Василия Ланового,1к1,320000
VISTA Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307588924/,3,7,4,180.0,Басманный,Чистопрудный бульвар,14С3,500000
Дворянское гнездо,real_estate_agent,https://www.cian.ru/rent/flat/307588851/,8,10,4,148.3,Тверской,Большая Грузинская ,69,600000
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307587067/,2,12,4,270.0,Хамовники,2-я Фрунзенская ,12,1848000
Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/307587051/,5,6,4,174.3,Тверской,Воротниковский переулок,4,380000
Трейд-ин Риэлти,real_estate_agent,https://www.cian.ru/rent/flat/307586287/,3,9,4,118.0,Коптево,Большая Академическая ,15К1,170000
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307585669/,4,5,4,150.0,Басманный, Жуковского,2,250000
Дарья Бурмакова,realtor,https://www.cian.ru/rent/flat/307585195/,3,14,4,100.0,Ново-Переделкино, Шолохова,24,100000
VISTA Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307583414/,4,6,4,150.0,Басманный, Жуковского,2,250000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307582418/,7,32,4,89.0,Царицыно,Кавказский бульвар,51к2,130000
Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307574704/,2,16,4,210.0,Арбат,Малый Новопесковский переулок,8,450000
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307572015/,2,6,4,175.0,Басманный,Мясницкая ,24/7С3,400000
ID 21239956,realtor,https://www.cian.ru/rent/flat/307570941/,20,41,4,100.0,Раменки,1-й Сетуньский проезд,8,100000
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307570871/,3,4,4,121.0,Басманный,Малый Козловский переулок,8,370000
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307569360/,8,10,4,177.0,Хамовники,3-я Фрунзенская ,5к1,550000
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307569356/,4,8,4,140.0,Якиманка, Большая Полянка,43С3,510000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307567705/,8,8,4,115.0,Останкинский,проспект Мира,81,170000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307566670/,4,26,4,167.0,Таганский,Котельническая набережная,1/15кА,390000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307553336/,6,8,4,140.0,Тверской,Селезневская ,22,450000
ID 97338884,unknown,https://www.cian.ru/rent/flat/307547374/,6,26,4,115.0,Раменки, Лобачевского,118к5,280000
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/rent/flat/307540550/,4,5,4,110.0,Хамовники,переулок Померанцев,9,180000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307538782/,4,8,4,96.0,Раменки,Мосфильмовская ,6,250000
Stapler Estate,real_estate_agent,https://www.cian.ru/rent/flat/307536690/,4,9,4,202.0,Хамовники,Погодинская ,4,1000000
CAPITAL REAL ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307533824/,4,6,4,170.0,Тверской,Тверская ,12С8,340000
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307533071/,6,8,4,140.0,Тверской,Селезневская ,22,450000
Vmestate,real_estate_agent,https://www.cian.ru/rent/flat/307527601/,4,5,4,150.0,Басманный, Жуковского,2,250000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307512094/,10,10,4,170.0,Хамовники,3-я Фрунзенская ,5к1,550000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307512091/,3,4,4,173.0,Арбат,Староконюшенный переулок,36С2,300000
Валерия  Володина,realtor,https://www.cian.ru/rent/flat/307507578/,4,5,4,100.0,Тверской,Долгоруковская ,35,200000
CapitalEstate,real_estate_agent,https://www.cian.ru/rent/flat/307505353/,4,8,4,150.0,Якиманка, Большая Полянка,43С3,510000
Московский Квартал,real_estate_agent,https://www.cian.ru/rent/flat/307504337/,3,3,4,163.5,Раменки, Дружбы,4ск2,450000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307494381/,3,12,4,163.0,Пресненский,Большой Тишинский переулок,38С1,230000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307493580/,4,6,4,171.0,Покровское-Стрешнево,Береговая ,4К3,320000
ID 72329732,realtor,https://www.cian.ru/rent/flat/307492478/,2,12,4,77.0,Лианозово,Алтуфьевское шоссе,93,90000
Dream City,real_estate_agent,https://www.cian.ru/rent/flat/307488789/,3,6,4,95.0,Донской,Ленинский проспект,25,180000
СДЕЛКА,real_estate_agent,https://www.cian.ru/rent/flat/307486990/,5,16,4,140.0,Хамовники,Ружейный переулок,3,400000
ID 48096887,unknown,https://www.cian.ru/rent/flat/307481817/,8,16,4,140.0,Замоскворечье,Мытная ,7с1,350000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307478058/,15,15,4,100.0,Молжаниновский,Ленинградское шоссе,228к4,140000
ID 190951,homeowner,https://www.cian.ru/rent/flat/307476791/,22,24,4,90.0,Даниловский,Автозаводская ,23Бк2,190000
Сергей Буянов,realtor,https://www.cian.ru/rent/flat/307470783/,4,14,4,120.0,Куркино,Новокуркинское шоссе,47,100000
VISTA Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307463529/,2,5,4,160.0,Хамовники,Малый Власьевский переулок,14/23,300000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307460928/,25,48,4,220.0,Раменки,Мосфильмовская ,70к2,370000
Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307460133/,4,6,4,171.0,Покровское-Стрешнево,Береговая ,4К3,320000
Дарья Голенкова,realtor,https://www.cian.ru/rent/flat/307460085/,3,15,4,139.5,Коньково, Генерала Антонова,7,200000
Парус,real_estate_agent,https://www.cian.ru/rent/flat/307458826/,8,15,4,127.0,Раменки,Ломоносовский проспект,29к1,400000
Парус,real_estate_agent,https://www.cian.ru/rent/flat/307457974/,21,26,4,120.0,Черемушки,Херсонская ,43,250000
Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307457359/,3,9,4,135.0,Тверской,1-я Тверская-Ямская ,28,350000
Парус,real_estate_agent,https://www.cian.ru/rent/flat/307457122/,7,9,4,147.0,, Ясеневая,3к1,250000
Vmestate,real_estate_agent,https://www.cian.ru/rent/flat/307456959/,3,3,4,185.0,Тверской,Петровский переулок,1/30С2,330000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307451987/,10,13,4,193.0,Тверской, Малая Дмитровка,24/2,680000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307447453/,3,4,4,121.0,Басманный,Малый Козловский переулок,8,370000
Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307442232/,10,10,4,170.0,Хамовники,3-я Фрунзенская ,5к1,550000
Юлия Александрова,realtor,https://www.cian.ru/rent/flat/307438764/,30,33,4,80.0,Головинский,Кронштадтский бульвар,8к1,160000
Алла Звоник,realtor,https://www.cian.ru/rent/flat/307437741/,5,16,4,75.0,Обручевский, Обручева,28К2,80000
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/rent/flat/307437065/,8,15,4,127.0,Раменки,Ломоносовский проспект,29к1,400000
Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307436394/,9,15,4,260.0,Раменки,Минская ,1Б,350000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307432667/,6,9,4,93.0,Пресненский,Васильевская ,4,200000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307432147/,3,5,4,165.0,Крылатское,Осенняя ,25К1,350000
Проперти фо пипл,real_estate_agent,https://www.cian.ru/rent/flat/307430864/,4,10,4,96.0,Даниловский,Люсиновская ,53,100000
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307430430/,2,6,4,170.0,Хамовники,Зубовский проезд,1,600000
VISTA Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307430049/,10,17,4,200.0,Пресненский,Студенецкий переулок,3,650000
ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307411412/,6,33,4,85.5,Метрогородок,Открытое шоссе,18Ак1,130000
Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307406638/,8,10,4,115.0,Останкинский,проспект Мира,81,170000
Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307403520/,6,6,4,270.0,Хамовники,Малый Могильцевский переулок,4Б,500000
Левченко-реалти,real_estate_agent,https://www.cian.ru/rent/flat/307402144/,4,16,4,92.2,Академический, Шверника,3К1,130000
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307400818/,12,24,4,161.0,Очаково-Матвеевское,Староволынская ,12к1,500000
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307399457/,3,11,4,164.0,Пресненский,Большой Тишинский переулок,38С1,230000
Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307395361/,8,15,4,150.0,Хамовники,Трубецкая ,12,1200000
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307391015/,3,7,4,192.0,Арбат,Кривоарбатский переулок,16/22,450000
Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307390532/,6,7,4,220.0,Арбат,Малый Николопесковский переулок,4,350000
Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307390018/,11,14,4,170.0,Аэропорт,Ленинградский проспект,52,300000
