"Category";"FullName";"ShortName";"OrgInfo";"ObjectAddress";"ChiefName";"ChiefPosition";"ChiefGender";"ChiefPhone";"PublicPhone";"Fax";"Email";"CloseFlag";"CloseReason";"CloseDate";"ReopenDate";"BedSpace";"PaidServiceInfo";"WorkingHours";"ClarificationWorkingHours";"Specialization";"BeneficialDrugPrescription";"DrugStore";"AmbulanceStation";"AmbulanceStationPhone";"global_id";"DoctorsSpecialtiesListForSelfRecording";"Extrainfo";"AgeRestriction";"DrugStoreType";"geoData";"geodata_center";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Психиатрическая клиническая больница № 5 Департамента здравоохранения Москвы»";"ГБУЗ ПКБ № 5 ДЗМ";"nested data";"nested data";"Целищев Дмитрий Вениаминович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"";"nested data";"";"";"";"";"";"nested data";"1028764059";"";"";"";"";"{coordinates=[[37.630137985, 55.247468403]], type=MultiPoint}";"{coordinates=[37.630137985, 55.247468403], type=Point}";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница им. Ф.И. Иноземцева Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ им. Ф.И. Иноземцева ДЗМ";"nested data";"nested data";"Маркаров Арнольд Эдуардович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"1693";"оказывают";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"2387165120";"";"";"";"";"{coordinates=[[37.685334642, 55.792337342], [37.737010265, 55.790615653], [37.736784508, 55.79186417], [37.737104597, 55.792477729], [37.736220812, 55.792983494], [37.737834306, 55.79099354], [37.7362067, 55.790581436]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Московский многопрофильный клинический центр «Коммунарка» Департамента здравоохранения города Москвы» (бывш. ГКБ № 40). Детский стационар";"ГБУЗ «ММКЦ «Коммунарка» ДЗМ (бывш. ГКБ № 40). Детский стационар";"nested data";"nested data";"Проценко Денис Николаевич";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"180";"";"nested data";"";"";"";"";"";"nested data";"2601969260";"";"";"детское";"";"{coordinates=[[37.465993703, 55.568541759]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 67 имени Л. А. Ворохобова Департамента здравоохранения города Москвы» филиал «Московский городской центр пульмонологии»";"ГБУЗ ГКБ № 67 им. Л. А. Ворохобова ДЗМ филиал «Московский городской центр пульмонологии»";"nested data";"nested data";"Сердюченко Алексей Геннадьевич";"директор";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"";"nested data";"";"";"";"";"";"nested data";"2622065241";"";"";"";"";"{coordinates=[[37.364778823, 55.788656214]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 13 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 13 ДЗМ";"nested data";"nested data";"Аракелов Сергей Эрнестович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"101 койка в том числе 6 коек реанимационных и 12 интенсивной терапии для новорожденных";"оказываются";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"2641042720";"";"";"";"";"{coordinates=[[37.665335225, 55.718825899], [37.665369896, 55.719873983], [37.665093365, 55.7201874], [37.649238921, 55.739058194], [37.648807405, 55.738760645], [37.666246004, 55.719924438], [37.665483946, 55.72047917], [37.667026861, 55.719310947], [37.666412187, 55.719723051], [37.665293501, 55.719185115], [37.666700202, 55.719990891], [37.664647096, 55.719417181], [37.666539374, 55.718906275]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ им. В.В. Вересаева ДЗМ";"nested data";"nested data";"Парфенов Игорь Павлович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"955";"оказывают";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"2641255174";"";"";"";"";"{coordinates=[[37.532654522, 55.889762013], [37.532783354, 55.890632538], [37.535187929, 55.890766635], [37.534367542, 55.889799093], [37.531250482, 55.890725512], [37.534466228, 55.889565281], [37.55430781, 55.811244977]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница имени А. К. Ерамишанцева Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ им. А. К. Ерамишанцева ДЗМ";"nested data";"nested data";"Габриелян Артур Рудольфович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"1295";"оказываются";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"2652372392";"";"";"взрослое";"";"{coordinates=[[37.663392611, 55.865281922], [37.664032874, 55.864751997], [37.667039963, 55.864640681], [37.666414492, 55.866000058], [37.667725989, 55.86579539], [37.66460254, 55.866345481]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Московский многопрофильный клинический центр «Коммунарка» Департамента здравоохранения города Москвы» (бывш. ГКБ № 40)";"ГБУЗ «ММКЦ «Коммунарка» ДЗМ (бывш. ГКБ № 40)";"nested data";"nested data";"Проценко Денис Николаевич";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"735";"оказывают";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"2671837000";"";"";"";"";"{coordinates=[[37.41384409, 55.643496321], [37.415413463, 55.642781663], [37.465462273, 55.568256008], [37.412896462, 55.64256158]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 67 имени Л. А. Ворохобова Департамента здравоохранения города Москвы» «Региональный сосудистый центр»";"ГБУЗ ГКБ № 67 им. Л. А. Ворохобова ДЗМ «Региональный сосудистый центр»";"nested data";"nested data";"Дмитриева Татьяна Владимировна";"заведующий отделением";"женский";"nested data";"nested data";"nested data";"nested data";"";"";"";"";"";"";"nested data";"";"";"";"";"";"nested data";"2672131466";"";"";"";"";"{coordinates=[[37.467286719, 55.769977481]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 67 имени Л. А. Ворохобова Департамента здравоохранения города Москвы» филиал «Центр мануальной терапии»";"ГБУЗ ГКБ № 67 им. Л. А. Ворохобова ДЗМ филиал «Центр мануальной терапии»";"nested data";"nested data";"Канаев Сергей Петрович";"заведующий филиалом";"мужской";"nested data";"nested data";"nested data";"nested data";"";"";"";"";"";"";"nested data";"Суббота: дежурный врач 09:00-16:00";"";"";"";"";"nested data";"2672131467";"";"";"";"";"{coordinates=[[37.483645069, 55.656795821]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 15 имени О. М. Филатова Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 15 им. О. М. Филатова ДЗМ";"nested data";"nested data";"Вечорко Валерий Иванович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"1600";"оказывают";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"2679550086";"";"";"взрослое";"";"{coordinates=[[37.815435115, 55.756568273], [37.83445573, 55.730730022], [37.836425184, 55.731746487], [37.832305549, 55.729960409], [37.836631724, 55.73117099]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Инфекционная клиническая больница № 1 Департамента здравоохранения города Москвы». Филиал";"ГБУЗ ИКБ № 1 ДЗМ. Филиал";"nested data";"nested data";"Тюрин Игорь Николаевич";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"";"";"";"";"";"";"nested data";"";"";"";"";"";"nested data";"2687929361";"";"";"";"";"{coordinates=[[37.531839607, 55.827650309], [37.518659656, 55.847732017], [37.531942339, 55.828153886], [37.51765016, 55.847586677]], type=MultiPoint}";"";
"Больница взрослая";"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 1 имени Н. И. Пирогова Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 1 им.Н. И. Пирогова ДЗМ";"nested data";"nested data";"Хайруллин Ильдар Индусович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"1346";"оказываются";"nested data";"";"многопрофильное медицинское учреждение";"";"";"";"nested data";"2690716400";"";"";"";"";"{coordinates=[[37.597749744, 55.720178563], [37.596137937, 55.720779595], [37.603429105, 55.72443159], [37.595868336, 55.721584994], [37.598052055, 55.721221754], [37.614610572, 55.714284642], [37.602209841, 55.723945726], [37.600162816, 55.722470661], [37.598166201, 55.723461735], [37.602509419, 55.725494661], [37.601626799, 55.723348466], [37.594916124, 55.721402487], [37.598396064, 55.720908242]], type=MultiPoint}";"";
